# 理科年表2021 おもな恒星 (J2000) p32,,,,,,
星名,赤経(hhmm.m),赤緯(±ddmm),実視等級,赤経固有運動量,赤緯固有運動量,距離(光年)
δ Sgr,1821.0,-2950,2.7,+33,-26,348
ε Sgr,1824.2,-3423,1.9,-39,-124,143
α Lyr,1836.9,+3847,0.0,+201,+286,25
σSgr,1855.3,-2618,2.0,+15,-53,228
ζ Sgr,1902.6,-2953,2.6d,+11,+21,88
β Cyg,1930.7,+2758,2.9d,-7,-6,434
γ Aql,1946.3,+1037,2.7,+17,-3,395
α Aql,1950.8,+0852,0.8d,+536,+385,17
γ Cyg,2022.2,+4015,2.2,+2,-1,1832
α Pav,2025.6,-5644,1.0d,+7,-86,179
αCyg,2041.4,+4517,1.2,+2,+2,1412
ε Cyg,2046.2,+3358,2.5,+356,+331,73
α Cep,2118.6,+6235,2.4,+151,+40,49
β Aqr,2131.6,-0534,2.9,+19,-8,537
ε Peg,2144.2,+0953,2.4,+27,+0,690
α Aqr,2205.8,-0019,3.0,+18,-0,524
α Gru,2208.2,-4658,1.7,+127,-147,101
α Tuc,2218.5,-6016,2.0,-71,-30,200
β Gru,2242.7,-4653,2.1,+135,-4,177
α PsA,2257.7,-2937,1.2,+329,-165,25
β Peg,2303.8,+2805,2.4,+188,+137,196
α Peg,2304.8,+1512,2.5,+60,-41,133
