"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"稲含山","16稲含山1370群馬県41高原山1795栃木県66妙法ヶ岳1320埼玉県91蛭ヶ岳1672.7神奈川県","https://ja.wikipedia.org/wiki/稲含山","北緯36度10分10秒東経138度49分31秒","標高: 1370.0 m;所在地: 日本群馬県甘楽郡下仁田町・甘楽町;位置: 北緯36度10分10秒東経138度49分31秒座標: 北緯36度10分10秒 東経138度49分31秒","関東百名山","表形式"
"御荷鉾山","17御荷鉾山1287群馬県42日留賀岳1848.8栃木県67秩父御岳山1081埼玉県92檜洞丸1601神奈川県","https://ja.wikipedia.org/wiki/御荷鉾山","北緯36度9分8.1秒東経138度55分6.5秒","標高: 西御荷鉾山: 1286m、東御荷鉾山: 1246 m;所在地: 群馬県神流町、藤岡市;位置: 北緯36度9分8.1秒東経138度55分6.5秒﻿ / ﻿北緯36.152250度 東経138.918472度﻿ / 36.152250; 138.918472;山系: 上武山地御荷鉾山系","関東百名山","表形式"
"鳴神山","18鳴神山979.7群馬県43三本槍岳1916.9栃木県68武甲山1304埼玉県93大室山1587.6神奈川県","https://ja.wikipedia.org/wiki/鳴神山","北緯36度29分25秒東経139度21分41秒","標高: 980 m;所在地: 日本群馬県桐生市;位置: 北緯36度29分25秒東経139度21分41秒座標: 北緯36度29分25秒 東経139度21分41秒","関東百名山","表形式"
"榛名山","19榛名山1449群馬県44那須岳1915栃木県69大持山1294.1埼玉県94矢倉岳870神奈川県","https://ja.wikipedia.org/wiki/榛名山","北緯36度28分38秒東経138度51分02秒","標高: 1,449 m;所在地: 日本群馬県高崎市;位置: 北緯36度28分38秒東経138度51分02秒座標: 北緯36度28分38秒 東経138度51分02秒;山系: 独立峰;種類: 成層火山（活火山ランクB）","関東百名山","表形式"
"子持山","20子持山1296.1群馬県45奥久慈男体山654茨城県70武川岳1051.7埼玉県95金時山1212神奈川県","https://ja.wikipedia.org/wiki/子持山","北緯36度35分31秒東経138度59分52秒","標高: 1,296.2[1]m;所在地: 日本群馬県渋川市・沼田市・吾妻郡高山村;位置: 北緯36度35分31秒東経138度59分52秒座標: 北緯36度35分31秒 東経138度59分52秒;種類: 成層火山","関東百名山","表形式"
"赤城山","21赤城山1828群馬県46八溝山1022.2茨城県71伊豆ヶ岳851埼玉県96明神ヶ岳1169神奈川県","https://ja.wikipedia.org/wiki/赤城山","北緯36度33分39秒東経139度11分37秒","標高: 1,827.6 m;所在地: 日本群馬県前橋市・桐生市・渋川市・沼田市・利根郡昭和村;位置: 北緯36度33分39秒東経139度11分37秒﻿ / ﻿北緯36.5608度 東経139.1936度﻿ / 36.5608; 139.1936座標: 北緯36度33分39秒東経139度11分37秒﻿ / ﻿北緯36.5608度 東経139.1936度﻿ / 36.5608; 139.1936;山系: 独立峰;種類: 複成火山（活火山ランクC）","関東百名山","表形式"
"三峰山","22三峰山1122.5群馬県47竪破山658.3茨城県72飛龍山2077埼玉県97箱根山1438神奈川県","https://ja.wikipedia.org/wiki/三峰山","","","関東百名山","表形式"
"武尊山","23武尊山2158群馬県48吾国山518.2茨城県73鷹ノ巣山1736.6東京都98幕山626神奈川県","https://ja.wikipedia.org/wiki/武尊山","北緯36度48分19秒東経139度07分57秒","標高: 2157.96m;所在地: 日本群馬県利根郡みなかみ町、川場村、片品村;位置: 北緯36度48分19秒東経139度07分57秒座標: 北緯36度48分19秒 東経139度07分57秒;山系: 独立峰;種類: 成層火山","関東百名山","表形式"
"吾妻耶山","24吾妻耶山1341群馬県49加波山709茨城県74雲取山2017.09東京都99天園147.4神奈川県","https://ja.wikipedia.org/wiki/吾妻耶山","北緯36度44分45.36秒東経138度55分34.43秒","標高: 1,341 m;所在地: 日本群馬県利根郡みなかみ町;位置: 北緯36度44分45.36秒東経138度55分34.43秒座標: 北緯36度44分45.36秒 東経138度55分34.43秒;山系: 三国山脈","関東百名山","表形式"
"笠ヶ岳 (谷川)","25笠ヶ岳2057.5群馬県50筑波山877茨城県75川苔山1363.2東京都100大楠山241.3神奈川県","https://ja.wikipedia.org/wiki/笠ヶ岳_(谷川)","北緯36度52分12秒東経138度57分46秒","標高: 1852.1 m;所在地: 群馬県利根郡みなかみ町;位置: 北緯36度52分12秒東経138度57分46秒座標: 北緯36度52分12秒 東経138度57分46秒","関東百名山","表形式"
